aabq	傲岸不群
dlyj	打了一架
dlym	大老爷们|道路以目
dlyq	雕阑玉砌
dlzh	到了最后
dlvl	大辂椎轮|大路椎轮
dlvm	砥砺琢磨
dlvn	当立之年
dlzv	独立自主
dlvv	蹈厉之志
dmar	道貌岸然
dmau	盗名暗世
dmbj	诞谩不经
dmbm	大谋不谋
dmbr	大谬不然|大缪不然
dmib	斗米尺布
dmci	断墨残楮
dmim	低眉垂目
dmix	大梦初醒
dmiy	低眉垂眼
dmdd	大名鼎鼎
dmdh	当门抵户
dmdy	大模大样
dmei	夺门而出
dmfd	大明法度
dmfx	大梦方醒
dmfz	吊民伐罪
dmgy	钓名沽誉
dmhi	戴眉含齿
dmhj	杜门晦迹
dmhl	打闷葫芦
dmhy	打马虎眼
dmjd	大马金刀
dmjj	杜门绝迹
dmll	殚谋戮力
dmmj	独门秘籍
dmnj	多米尼加|遁名匿迹|大名难居
dmnk	多米尼克
dmnv	独木难支
dmqu	盗名欺世|钓名欺世
dmqs	杜门却扫
dmqy	登木求鱼
dmrd	旦暮入地
dmud	多谋善断
dmug	大马士革
dmsl	倒霉死了
dmul	多谋善虑
dmuy	低眉顺眼
dmvy	低眉折腰
dmwa	敌明我暗
dmwb	代马望北
dmxg	等米下锅
dmxk	杜门谢客
dmyf	代马依风
dmyj	大莫与京
dmzj	杜门自绝
dmzu	杜门自守
dmvv	颠毛种种
dnbb	东南半壁
dnbd	大逆不道
dnbs	大难不死
dnck	顿涅茨克
dniy	大年初一
dndx	东南大学
dnhx	妒能害贤
dnki	端倪可察
dnlu	对你来说
dnlt	大难临头
dnpd	带牛佩犊
dnqf	东南雀飞
dntq	对牛弹琴
dnwd	大逆无道
dnxb	东南西北|多难兴邦
dnxy	东怒西怨
dnyh	多年以后
dnyl	多年以来
dnyr	斗南一人
dnzm	当牛做马
dpbp	颠扑不破
dpig	打破常规
dpgf	豆剖瓜分
dpjx	动魄惊心
dpkl	道旁苦李
dplk	箪瓢屡空
dpll	颠沛流离
dplm	地痞流氓
dplx	箪瓢陋巷
dpmg	打破迷关
dpug	打破砂锅
dpti	地平天成
dpwt	戴盆望天
dpxc	东拼西凑
dpxd	东跑西颠
dpxh	胆破心寒
dpxj	独辟蹊径
dpxu	短篇小说
dpxz	大胖小子
dpyj	跌破眼镜
dqbr	刀枪不入
dqby	丹青不渝
dqbz	底气不足
dqil	冬去春来
dqcz	堆砌辞藻
dqiz	东墙处子
dqdk	颠乾倒坤
dqdl	大起大落|大权独揽
dqdm	单枪独马
dqdu	大请大受
dqdx	独清独醒
dqdy	多情多义
dqfw	定倾扶危
dqfv	蹈其覆辙
dqhi	荡气回肠
dqhj	貂裘换酒
dqjj	刀枪剑戟
dqju	打起精神
dqjy	丹铅甲乙
dqll	打起来了
dqlv	戴清履浊
dqmq	打情骂俏|打情骂趣
dqmu	丹青妙手
dqmx	打情卖笑
dqpb	大气磅礴
dqpl	大权旁落
dqpm	单枪匹马
dqqx	搭桥牵线
dqrc	的确如此
dqrk	刀枪入库
dqrv	大巧若拙
dqug	多情善感
dquj	大千世界
dqsm	得其三昧|丹漆随梦
dqsz	得其所哉
dquz	底气十足
dqtb	达权通变
dqtj	夺其谈经
dqwi	大器晚成
dqwg	但求无过
dqwr	敌强我弱
dqwy	多歧亡羊
dqxg	冬裘夏葛
dqxk	东瞧西看
dqyz	典妻鬻子
dqvb	达权知变
dqzw	大权在握
drbr	当仁不让
driv	淡然处之
drdd	戴日戴斗
drdy	大仁大义
drgh	洞若观火
drhb	大人虎变
drjw	待人接物
drjv	蹈人旧辙
drka	冬日可爱
drkm	遁入空门
drlg	打入冷宫
drmg	打人骂狗
drmj	呆若木鸡|呆如木鸡
drnm	多如牛毛|淡汝浓抹
drqf	淡若清风
drrn	度日如年
drsa	夺人所爱
drug	代人受过
drsh	夺人所好
drus	断人生死|怛然失色
drux	代人说项
drtt	动如脱兔
drvm	达人知命
drwc	荡然无存
drwk	吊人胃口
drxp	动人心魄
drxu	大人先生
drxx	动人心弦
drxy	丢人现眼|冬日夏云
dryi	待人以诚
dryd	低人一等
dryk	荡然一空
dryx	淡然一笑
drvi	得人者昌
drvd	代人捉刀
drvv	淡然置之
dsbc	抵死不从
dubl	滴水不漏
dubm	丹书白马
dsbx	单丝不线
ducb	得失参半
duib	滴水成冰|得失成败
dsib	斗粟尺布
duij	点石成金
duiu	滴水穿石
dscu	掉三寸舌
dudf	大是大非|独是独非
dudj	大手大脚|读书得间
dudl	大厦栋梁
dudn	端屎端尿
dudq	嗲声嗲气
dsds	倒三颠四|颠三倒四
dudy	倒数第一
dued	待时而动
dsem	淡扫蛾眉
dufj	大煞风景|大杀风景
dufq	大煞风趣
dugi	掉舌鼓唇
dugw	东山高卧
dsgy	第三个月
dugz	单身贵族
duhi	得胜回朝
dshf	斗榫合缝
duhh	刀山火海
dshh	大肆挥霍
dshj	箪食壶浆|箪食壶酒|胆丧魂惊
duhx	大事化小|笃实好学
dshx	胆丧魂消
duhy	大受欢迎
dsjc	大肆厥辞
dsjd	第四季度
dujd	大厦将颠
dujh	大声疾呼|岛瘦郊寒|堆山积海
dujj	大树将军
dsjl	殚思极虑
dujq	大厦将倾|淡水交情
dsju	抖擞精神
duju	刀山剑树
dukf	独守空房
dulb	戴霜履冰
dslh	打死老虎
dulm	电闪雷鸣
dsls	丢三落四
dulu	登山临水
dsmj	呆似木鸡
dsmu	抵死谩生
dunl	多少年来
dunq	多少年前
dspy	箪食瓢饮
dupv	大事铺张
dspv	大肆铺张
duqh	倒山倾海
duqu	独善其身
duqy	大事去矣
durw	大失人望
dusd	读书三到
dusf	大杀四方
duuf	待时守分
duuj	多少时间
duul	敦诗说礼
dusq	大势所趋
dusw	大失所望
dusy	读书三余
dutg	地上天官
duth	得胜头回
dutl	澄沙汰砾
dutn	带水拖泥
dutq	丹书铁契|丹书铁券
dutr	达士通人
dutu	大书特书
dutx	大赦天下
duwf	但说无妨
dswj	吊死问疾
duwu	当世无双
duwy	多说无益
dsxi	大肆宣传
duxh	道山学海
duxl	登山小鲁|冬扇夏炉
duxp	东施效颦
duxq	低声下气
dsxs	低三下四
duxs	东食西宿
duxx	低首下心
duxy	低声细语|断手续玉
duyd	多少有点
duyq	大势已去
duyx	多少有些
duyv	独树一帜
duzb	顿首再拜
duvi	儋石之储
duvj	掇拾章句
duzn	独生子女
duzq	东山再起|毒手尊前
duvq	多事之秋|斗筲之器
duvu	斗升之水
duvz	读书种子
dtbd	动弹不得
dtbh	当头棒喝
dtbj	登坛拜将
dtbr	大天白日
dtby	低头不语
dtij	点铁成金
dtir	打铁趁热
dtdh	得天独厚
dtdm	当头对面
dtdn	呆头呆脑
dtdt	打听打听
dtdy	党同妒异
dtfd	洞天福地
dtfy	党同伐异
dtgv	大庭广众|大廷广众
dthg	夺胎换骨
dthy	点头哈腰
dtjd	刁天决地|戴天蹐地
dtjj	断头将军
dtju	倒头就睡|刀头剑首
dtld	顶天立地|戴天履地
dtlu	对他来说
dtpp	掇臀捧屁
dtru	登堂入室
dtub	多退少补
dtuc	掉头鼠窜
dtuj	大同世界
dtul	戴头识脸
dtus	顶头上司
dtuv	待兔守株
dttg	打退堂鼓
dttm	刀头舔蜜
dttu	道听途说
dttx	刀头舔血
dtvj	点头之交
dtvy	点头致意
dtxd	大体相当
dtxm	东涂西抹
dtxw	大头小尾|东兔西乌
dtxy	大同小异
dtxz	大题小作|大题小做
dtyb	当头一棒
dtyj	对头冤家
dtyw	刀头燕尾
dtyx	都头异姓
dvat	独占鳌头
dvhy	斗志昂扬
dvdh	大智大慧
dvdj	动辄得咎
dvdy	斗智斗勇|大智大勇
dvfv	大政方针
dvht	大展宏图
dvjg	党政机关
dvjy	大智近妖
dvnm	淡妆浓抹
dvqg	大张旗鼓
dvqj	大展拳脚|洞烛其奸
dvqy	断章取义
dvry	大智若愚|大智如愚
dvsc	道之所存
dvul	大致说来
dvux	斗折蛇行
dvwg	敌众我寡
dvwk	当之无愧
dvwx	得之我幸
dvxj	胆战心惊
dvxt	东征西讨
dvxw	东张西望
dvxy	对症下药|斗转星移|胆战心摇
dvyq	动之以情
dvyx	大专院校
dwbj	诞罔不经|诞妄不经
dwbm	大为不满
dwbt	大为不同
dwcl	断无此理
dwcy	得未曾有
dwdl	独往独来
dwey	对我而言
dwez	达斡尔族
dwgh	大为光火
dwgv	单文孤证
dwhv	弹丸黑志
dwhz	弹丸黑子
dwju	读万卷书
dwjx	帝王将相
dwjy	殆无孑遗
dwkd	跌无可跌
dwkf	对外开放
dwlu	对我来说
dwmd	敌我矛盾
dwmu	当我没说
dwmy	对外贸易
dwnh	大为恼火
dwqb	黩武穷兵
dwru	簟纹如水
dwuf	杜微慎防
dwuj	党委书记
dwsr	睹物思人
dwux	代为说项
dwvd	弹丸之地
dwvj	当务之急
dwvs	挡我者死
dwwf	多文为富
dwxf	弹无虚发
dwxq	冬温夏凊|睹物兴情
dwxr	殆无虚日
dwvr	度外之人
dwvy	阽危之域
dwvv	睹微知著
dxal	大兴安岭
dxbg	打小报告
dxbj	笃学不倦
dxbk	大卸八块
dxbs	当行本色
dxbx	丹心碧血
dxby	大学毕业
dxch	大刑伺候
dxim	动心怵目
dxiv	党邪丑正
dxdb	大喜大悲
dxdh	涤瑕荡秽
dxdx	多谢多谢|抵瑕蹈隙
dxew	当刑而王
dxff	大雪纷飞
dxfv	断线风筝|蹈袭覆辙
dxfw	杜隙防微
dxgd	单膝跪地
dxgg	鼎新革故
dxgw	大喜过望|独学寡闻
dxhb	大贤虎变
dxhf	旦夕祸福
dxhg	笃学好古
dxhm	动心骇目
dxhx	笃信好学
dxjh	短小精悍
dxjn	妒贤嫉能
dxjt	大相径庭|大相迳庭
dxjv	大限将至
dxlg	顿学累功
dxlh	戴玄履黄
dxlj	荡析离居
dxlm	砥行立名
dxlr	刀下留人
dxmm	砥行磨名
dxmv	道消魔长
dxnb	东西南北
dxnu	倒行逆施
dxox	断线偶戏
dxpu	胆小怕事
dxqd	大行其道|独行其道
dxqj	大学期间
dxqm	淡写轻描
dxqu	独行其是
dxqy	大型企业
dxrd	胆小如豆
dxrg	丹心如故
dxrk	大喜若狂
dxrl	得婿如龙
dxru	胆小如鼠
dxrx	动心忍性|胆小如鼷
dxsd	大写锁定
dxsj	担雪塞井
dxsp	打小算盘
dxuu	大显身手
dxut	大显神通|悼心失图
dxuy	多许少与
dxuv	等闲视之
dxth	担雪填河
dxtm	大兴土木
dxvb	等闲之辈
dxvj	旦夕之间|倒悬之急
dxvp	断袖之癖
dxwx	大象无形
dxxj	带薪休假
dxxw	地下修文
dxxx	东想西想
dxxy	大学校园|倒屣相迎
dxxv	党邪陷正
dxyl	打心眼里
dxyu	得心应手
dxyv	雕心雁爪
dxvw	旦夕之危|倒悬之危
dyba	大洋彼岸
dybc	大言不惭
dybf	东亚病夫
dybl	倒也罢了
dybr	东野巴人
dybt	大有不同
dybx	地狱变相
dyby	大有裨益
dycb	断垣残壁
dyif	羝羊触藩
dydb	大摇大摆
dydj	朵颐大嚼
dydr	大鱼大肉
dydz	多有得罪
dyfc	等因奉此
dyfr	第一夫人
dyfv	打预防针
dyfy	第一反应
dyfz	打牙犯嘴
dygb	党员干部
dygh	断雁孤鸿
dygy	第一个月
dyhe	等一会儿
dyjc	单忧极瘁
dyjd	第一季度|大有见地
dyjh	答疑解惑
dyjl	谠言嘉论
dyju	第一件事
dyjt	大有径庭|大有迳庭
dyjx	得月较先
dyjy	打鸭惊鸳
dyjz	大雅君子
dykg	大有可观
dykj	丹楹刻桷
dykk	倒要看看
dykw	大有可为
dylf	戴圆履方
dylr	大义凛然
dyme	丁一卯二
dymq	大义灭亲
dymu	得意门生
dymw	德音莫违
dymx	电影明星
dymy	鼎鱼幕燕
dypm	短衣匹马
dypp	大雨瓢泼
dypt	大雨滂沱
dypx	戴月披星
dypz	打牙配嘴|代越庖俎
dyqb	导以取保
dyqi	低吟浅唱
dyqe	丁一确二
dyql	弹雨枪林
dyqp	大雨倾盆
dyqq	大异其趣|独有千秋
dyqs	大有起色
dyqx	掉以轻心
dyrc	但愿如此
dyri	第一人称
dyrg	德言容功
dyrm	道远日暮
dyrq	大勇若怯
dyrv	大雨如注
dyrz	大有人在
dyuj	第一时间
dyul	雕玉双联
dyux	德艺双馨
dytj	第一桶金
dyvt	大雅之堂
dyvv	地缘政治
dyvy	第一志愿
dyvz	得意之作
dywe	独一无二
dywq	得鱼忘筌
dywv	大有文章|堕云雾中
dywx	得意忘形
dywy	得意忘言
dyxb	东摇西摆
dyxi	第一现场
dyxh	恫疑虚喝|大吆小喝
dyxu	大音希声
dyxx	待月西厢
dyyd	盗亦有道
dyyr	独异于人
dyyu	东隅已逝
dyyv	第一乐章
dyyx	第一印象
dyyy	得意洋洋
dyyz	定于一尊
dyvd	钓游之地
dyvj	道义之交|道远知骥
dyvl	啖以重利
dyvu	谠言直声|大禹治水
dyvs	得意之色
dyzw	大有作为
dyvw	洞幽烛微
dyzy	短垣自逾
dzbg	堕甑不顾
dzbj	丢卒保车
dzbq	顿足不前
dzbx	胆子不小
dvbv	当着不着
dvcb	栋折榱崩
dzii	独坐愁城
dzix	顿足捶胸
dviv	当轴处中
dzdc	多姿多彩
dzdn	多灾多难
dzdu	多嘴多舌
dveh	德重恩弘
dzel	鼎足而立
dzem	抵足而眠
dzes	鼎足而三
dvet	抵掌而谈
dzgg	刁钻古怪|倒载干戈
dvgg	倒置干戈
dzgv	待字闺中
dvhh	灯烛辉煌
dzjj	电子竞技
dvjl	大展经纶|殚智竭力
dzjs	断子绝孙
dzkb	刁钻刻薄
dzlg	戴罪立功|带罪立功
dvlj	雕章镂句
dvmi	旦种暮成
dvmv	蠹众木折
dvqc	大张其词|胆壮气粗
dvqx	断织劝学
dvrq	大直若诎|大直若屈
dzub	带在身边
dzsf	鼎足三分
dvuh	斗转参横
dzuu	带在身上
dvuu	大张声势
dzuw	电子商务
dvtf	大张挞伐
dztu	钉嘴铁舌
dzvu	鼎足之势
dzwv	大做文章
dvww	典章文物
dzxg	东走西顾
dvxh	胆战心寒|胆战心慌
dvxm	顶针续麻
dvxx	胆壮心雄
dvye	盗钟掩耳
dvyk	当之有愧
dvym	豆重榆瞑
dzyr	独自一人
dzyu	地造一双|刀俎余生
dzyx	电子邮箱
dzyv	单则易折
dvvj	断章摘句|断织之诫
dvvl	砥柱中流
dvzl	断杼择邻
dzvr	盗憎主人
dvvw	盗跖之物
dvvy	地主之谊|对症之药
dvzz	大杖则走
dvvv	大中至正
eayv	迩安远至
ebdl	二八定律
ebfz	二八法则
ebfv	恩不放债
ebhk	耳鼻喉科
ebjr	二八佳人
ebkw	二不跨五
ebsm	耳鬓厮磨|耳鬓斯磨|耳鬓撕磨
eibl	恶叉白赖
eijm	二重简码
ecmm	耳聪目明
eiwr	恶尘无染
ecxt	额蹙心痛
edbv	阿党比周
edfz	二道贩子
edgm	二等公民
edru	恩德如山
edxw	阿党相为
edyj	恩断义绝
edys	饿得要死
eeaa	恩恩爱爱
eeds	鄂尔多斯
eehh	噩噩浑浑
eenn	厄尔尼诺
eeuu	峨峨汤汤
eexb	恩恩相报
eeyu	遏恶扬善
eeyy	峨峨洋洋
efmy	二分明月
efnp	二佛涅槃
efut	二佛升天
efvy	二分之一
efvh	二缶钟惑|二缶锺惑
egbd	峨冠博带
egde	厄瓜多尔
egmy	恶贯满盈
egqj	耳根清净
egyy	恶贯已盈
egzr	耳根子软
ehbu	二话不说
ehdu	扼吭夺食
ehfb	扼吭拊背|扼喉抚背
ehju	二惠竞爽
ehjy	饿虎饥鹰
ehmi	耳红面赤
ehpu	饿虎扑食
ehpy	饿虎扑羊
ehqy	饿虎擒羊
ehuf	耳后生风
ehty	饿虎吞羊
ehxd	二虎相斗
ehvh	鹅湖之会
ehvx	饿虎之蹊
ejib	恩将仇报
ejeh	而今而后
ejfm	遏渐防萌
ejhy	恶积祸盈
ejky	扼襟控咽
ejmn	恩贾梅纳
ejny	屙金溺银
ejyv	恶籍盈指
ejvv	恶迹昭著|恶迹昭着
ekfb	扼亢拊背
eliz	鄂伦春族
elsz	俄罗斯族
elvn	而立之年
elxv	二龙戏珠
embm	二门不迈|耳满鼻满
embs	耳目闭塞
emby	遏密八音
emdx	鹅毛大雪
emgg	耳目股肱
emhi	蛾眉皓齿
emhu	耳目喉舌
emmx	耳鸣目眩
emqu	蛾眉螓首
emsp	二满三平
emtf	阿弥陀佛
emvd	耳目众多
emvv	恶名昭彰|耳目昭彰
emyx	耳目一新
enih	儿女成行
eniq	儿女成群
endz	婀娜多姿
enqi	儿女情长
enqj	儿女亲家
ensq	儿女私情
enxi	儿女心肠
envq	儿女之情
epby	饿莩遍野|饿殍遍野
epmd	饿殍满道
epzd	饿莩载道|饿殍载道
epvj	饿殍枕藉
eqsh	阿其所好
eqtf	饿其体肤
erbj	恩荣并济
ermr	耳濡目染
eruj	二人世界
ertx	二人同心
erxh	耳软心活
ervj	尔汝之交
erzu	恩若再生
euiq	额手称庆|额首称庆
euis	额手称颂
euit	二十出头
eudm	阿世盗名
eudn	二十多年
euds	二十多岁
eueq	恶声恶气
euhj	二十好几
eujg	二十几个
eujs	二十几岁
esjz	二三君子
euls	二十来岁
eums	阿世媚俗
eumu	耳视目食
esmt	儿孙满堂
eumt	耳视目听
eunx	耳熟能详
esqd	二三其德
euqr	阿世取容
esqy	二三其意
euuj	二十世纪
esux	饿死事小
euwn	二竖为虐
euxq	额手相庆
esyf	二三月份
euyh	恩山义海
euyu	恩甚怨生
euyv	恩深义重
euvl	耳食之论
euvn	耳顺之年
euvt	耳食之谈
euvy	耳食之言
etbf	耳听八方
etby	儿童不宜
etfm	恩同父母
etmm	耳提面命
etuy	恩同山岳
etwx	儿童文学
etxu	耳听心受
etym	二童一马
etzz	恩同再造
evru	恩重如山
evvj	二者之间
ewbu	恩威并施
ewbv	恩威并重
ewbx	恩威并行
ewby	恩威并用
ewit	扼腕长叹
ewdv	扼腕抵掌
ewkz	鄂温克族
ewmd	耳闻目睹
ewmj	耳闻目见|耳闻目击
ewux	耳闻是虚
ewtx	扼腕叹息
ewzr	鹅王择乳
ewzs	耳闻则诵
ewvu	额外主事
exiu	二线城市
exev	恶形恶状
exex	恶心恶心
exly	二心两意
exsl	恶心死了
exsy	二心三意
exxh	恶性循环
exyb	鹅行鸭步
exvh	二姓之好
eyie	讹以传讹
eyim	阿谀谄媚
eycm	恩逾慈母
eyeb	恶有恶报
eyeu	恶衣恶食
eyfi	阿谀奉承
eyfm	恩怨分明
eyfu	恶衣菲食
eyfy	阿谀逢迎
eyht	二氧化碳
eyhv	讹言惑众
eylc	恶言詈辞
eylu	恶衣粝食
eyls	恶言厉色
eyqi	恩怨情仇
eyqr	阿谀取容|阿意取容
eyrl	遏云绕梁
eyuf	恩怨是非
eyur	恶语伤人
eyuu	恶衣蔬食
eyvu	恶意中伤|恶语中伤
eywv	尔虞我诈
eyxj	恶语相加
eyxx	恶语相向
eyyl	鳄鱼眼泪
eyvb	恩有重报
eyze	讹以滋讹
eviv	恶直丑正
evtu	恩重泰山
evwy	尔诈我虞
fbbj	分别部居
fbcv	风必摧之
fbiy	返本朝元
fbdh	粉白黛黑
fbdl	粉白黛绿
fbdz	罚不当罪
fbeg	法不阿贵
fbeh	拊背扼喉
fbfb	方不方便
fbgu	奋不顾身
fbhy	返本还原|返本还元|返本还源
fbjf	防不及防
fbju	奋笔疾书
fbkd	锋不可当
fblx	分崩离析
fblz	凤表龙姿
fbmh	分别门户|粉白墨黑
fbmm	肤白貌美
fbmt	风不鸣条
fbqi	分不清楚
fbrq	法不容情
fbud	腹背受敌
fbuf	防不胜防
fbuq	扶不上墙
fbvm	方便之门|诽谤之木|腹背之毛
fbwu	反败为胜
fbxi	非比寻常
fbxq	法不徇情
fbyu	愤不欲生
fbzb	浮白载笔
fbve	返哺之恩
fbvj	伐冰之家
fbvq	反哺之情
fbvs	反哺之私
fbzv	法不责众|罚不责众
fbvv	福不重至
fcbl	方寸不乱|方骖并路
fibq	非常抱歉
fiby	非常必要
fcby	梵册贝叶
fiii	辅车唇齿
ficd	风吹草动
fcil	丰草长林
fcim	悱恻缠绵
fidi	风驰电掣
fidd	分钗断带
fidj	付出代价
fcdl	方寸大乱
fidm	法出多门
fidx	焚巢荡穴|焚巢捣穴
fifi	非常非常
fifs	夫唱妇随
fify	非处方药
figj	非常关键
figm	逢场竿木
figx	非常感谢
fcjb	非此即彼
fijd	非常简单|翻肠搅肚
fcjk	发策决科
fijm	非常紧密
fiju	非常及时
fikn	非常困难
fikx	非常可惜
fild	风吹浪打
filj	非常理解
fill	风尘碌碌
fclm	费财劳民
fcls	风餐露宿
filx	风掣雷行
fime	风吹马耳
fcml	服从命令
fimn	肥肠满脑
fimq	非常密切
fimx	非常明显
fing	非常难过
fipb	非常普遍
fipf	分钗劈凤
fipj	分钗破镜
fipp	风尘仆仆
fipt	非常普通
fiqi	非常清楚
fiql	蜂出泉流
fcqu	凡才浅识
firu	风吹日晒
firy	非常容易
firv	非常认真
fiuk	非常深刻
fium	浮出水面
fiuq	非常时期
fiur	非常深入
fitm	分床同梦
fcvd	方寸之地
fcvf	发财致富
fcvv	凡此种种
fcwi	方寸万重
fiwl	飞刍挽粒|飞刍挽粮
fiwr	非诚勿扰
fiws	飞刍挽粟
fixh	非常喜欢
fixj	反唇相讥|反唇相稽
fixw	非常希望
fixy	辅车相依
fiyd	风吹雨打|蜂虿有毒
fiyg	非常严格
fcyl	方寸已乱
fiym	法出一门
fiys	风吹云散
fiyx	非常有限|匪朝伊夕|逢场游戏
fiyv	非常严重
fivb	风尘之变
fivg	覆车之轨
fczh	飞苍走黄
fivj	覆车之鉴|覆车之戒
fizl	逢场作乐
fivm	非常之谋
fcvm	分寸之末
fizq	逢场作趣
fivu	非常重视
fivw	非池中物
fizx	逢场作戏
fczx	父慈子孝
fivx	覆巢之下|飞刍转饷
fivy	非常重要
fdbj	放荡不羁|放达不羁|放诞不羁|放诞不拘
fdbl	放刁把滥
fdiw	扶颠持危
fdix	釜底抽薪
fddt	福地洞天
fddx	复旦大学
fdfd	辅导辅导
fdfl	放诞风流
fdft	覆地翻天
fdge	负德辜恩
fdgg	飞得更高
fdgj	发达国家|封刀挂剑
fdhi	凫短鹤长
fdkr	焚典坑儒
fdli	蜚短流长|飞短流长
fdls	飞遁离俗
fdly	富得流油
fdmb	奋斗目标
fdmd	福大命大
fdmg	飞遁鸣高|肥遁鸣高|肥遯鸣高
fdmj	防毒面具
fdpp	风度翩翩|丰度翩翩
fdqv	复蹈前辙
fdrj	妇道人家
fdsg	讽德诵功
fduj	风刀霜剑
fdun	肥冬瘦年
fdsp	放刁撒泼
fdur	伏地圣人
fdsy	法度森严
fdxi	发短心长
fdxh	放荡形骸
fdyb	分道扬镳
fdyd	风大雨大
fdyg	方底圆盖
fdys	烦得要死
fdyu	锋镝余生
fdyv	粉雕玉琢
fdyy	釜底游鱼
fdzx	伏低做小|服低做小
febj	犯而不校
febn	肥而不腻
fedf	逢恶导非
fedy	附耳低言
fefh	飞蛾赴火
fefy	飞蛾赴焰
fefv	飞蛾赴烛
fegl	附耳过来
feml	福尔马林|负恩昧良
fems	福尔摩斯
feph	飞蛾扑火
feut	伏而咶天
feth	飞蛾投火
fevv	分而治之
fewx	犯而勿校
ffbb	缝缝补补
ffbp	愤愤不平
ffby	纷纷不一
ffil	反腐倡廉
ffdc	丰富多彩|丰富多采
ffdd	疯疯癫癫
ffdl	奋发蹈厉
ffet	泛泛而谈
ffff	反反复复|贩夫贩妇
fffy	芬芳馥郁
fffz	纷繁复杂
ffgg	风风光光
ffhh	风风火火
ffhl	傅粉何郎
ffhq	夫复何求
ffjg	非富即贵
ffjj	纷纷籍籍
ffjk	分房减口
ffli	放饭流歠
fflm	附肤落毛
ffls	发发牢骚
fflt	沸反连天
ffmh	反风灭火
ffpl	分风劈流
ffpx	焚符破玺
ffql	发凡起例
ffqv	吠非其主
ffrr	纷纷扰扰|纷纷攘攘
ffry	凡夫肉眼
ffsd	非法所得
ffuu	沸沸汤汤
ffsz	凡夫俗子|贩夫俗子
ffuv	伏法受诛|傅粉施朱
fftq	奋发图强|发愤图强|发奋图强|反复推敲
fftt	服服帖帖
ffvb	泛泛之辈
ffvc	非分之财|葑菲之采
ffvv	方方正正
ffvx	非分之想
ffvy	肺腑之言
ffwi	反复无常|翻复无常|反覆无常
ffwu	发愤忘食
ffxb	腹诽心谤
ffxu	奋发向上
ffyj	蜂附云集
ffyl	锋发韵流
ffyt	沸反盈天
ffyw	奋发有为
ffyx	蜂房蚁穴
ffyy	风风雨雨|匪匪翼翼|沸沸扬扬|纷纷扬扬|纷纷洋洋|纷纷拥拥|风风韵韵
ffvj	泛泛之交
ffzl	贩夫皁隶|贩夫皂隶
ffvn	非分之念
ffvr	泛泛之人
ffvt	泛泛之谈
ffzz	贩夫走卒|贩夫驺卒
fgak	富贵安康
fgam	富国安民
fgbi	簠簋不饬
fgbe	奉公不阿
fgbr	富贵逼人
fgbx	烽鼓不息|妇姑勃谿
fgil	浮瓜沉李
fgiu	飞鸽传书
fgds	反攻倒算
fgdz	风光大葬
fgfi	复工复产
fgfh	风高放火
fgfl	发光发亮
fgfr	发光发热
fgfy	富贵浮云
fggk	分甘共苦
fghk	富贵花开
fghl	丰功厚利
fghn	妨功害能
fghz	分工合作
fgjg	焚膏继晷
fgjn	伐功矜能
fgjq	粉骨捐躯
fgjr	富贵骄人
fgju	分甘绝少
fgld	飞阁流丹
fgly	浮光掠影
fglz	凤骨龙姿
fgmd	丰功茂德
fgmq	粉骨糜躯
fgmu	粉骨糜身
fgnc	发国难财
fgnu	返观内视
fgnv	返观内照
fgqb	富国强兵
fgqj	风骨峭峻
fgqn	肥甘轻暖
fgrh	富贵荣华
fgrj	富贵人家
fgud	丰功硕德
fguf	奉公守法
fgul	丰功盛烈
fgsu	粉骨碎身
fgtk	分甘同苦
fgvj	附骨之疽|奉公正己
fgvq	附骨之蛆
fgwj	丰功伟绩
fgwt	法国梧桐
fgwx	风光无限
fgxj	飞觥献斝
fgxp	凤冠霞帔
fgxx	反戈相向
fgxy	封官许愿|桴鼓相应|封官许原
fgyd	丰功懿德
fgyh	焚骨扬灰
fgyj	反戈一击|贩官鬻爵|风光月霁
fgyn	风光旖旎
fgzj	放歌纵酒|飞觥走斝
fgzu	福过灾生
fgzt	富贵在天
fgzw	反躬自问|抚躬自问
fgzx	反躬自省
fgzz	反躬自责
fhbi	分毫不差
fhbq	分毫不取
fhbu	分毫不爽
fhbv	分毫不值
fhdj	风回电激|冯驩弹铗
fhdz	翻黄倒皁|翻黄倒皂
fhem	封胡遏末
fhfl	分花拂柳
fhgu	放虎归山
fhhl	纷红骇绿
fhjd	风华绝代
fhjm	封胡羯末
fhjq	风禾尽起
fhln	烽火连年
fhlp	废话连篇
fhlr	浮花浪蕊
fhlt	烽火连天
fhly	凤凰来仪
fhlv	峰回路转
fhmc	泛浩摩苍
fhrl	风和日丽
fhrm	风和日美
fhrn	风和日暖
fhrx	风和日暄
fhsj	繁花似锦
fhul	发号施令
fhsq	烽火四起
fhuu	放火烧山
fhut	蜂合豕突
fhux	福慧双修
fhsv	繁华损枝
fhtd	飞黄腾达
fhtt	飞黄腾踏
fhtx	飞鸿踏雪
fhwb	法海无边|风鬟雾鬓
fhwj	分化瓦解
fhwm	防患未萌
fhwr	防患未然
fhwu	分毫无爽
fhxl	分毫析厘|伏虎降龙|烽火相连
fhxy	风花雪月|风花雪夜
fhxv	飞鸿雪爪
fhyb	风鬟雨鬓
fhyd	丰亨豫大
fhyf	凤凰于飞
fhyh	放虎遗患
fhyj	蜂合蚁聚
fhyl	风虎云龙|分花约柳
fhyu	覆海移山
