美元	$|💵|💲
菠萝	🍍
小苹果	🍎|🍏
红苹果	🍎
苹果	🍎|🍏
绿苹果	🍏
青苹果	🍏
梨	🍐
梨子	🍐
雪梨	🍐
香梨	🍐
仙桃	🍑
桃	🍑
桃子	🍑
樱桃	🍒
车厘子	🍒
草莓	🍓
汉堡	🍔
汉堡包	🍔
吃比萨	🍕
吃比萨饼	🍕
比萨	🍕
比萨饼	🍕
吃披萨	🍕
吃披萨饼	🍕
披萨	🍕
披萨饼	🍕
吃肉	🍖
带骨肉	🍖
排骨	🍖
肉	🍖|🥩
肉肉	🍖|🥩
家禽的腿	🍗
家禽腿	🍗
鸡腿	🍗
鸡腿儿	🍗
米果	🍘
米饼	🍘
饭团	🍙
大米	🍚
大米饭	🍚
煮熟的饭	🍚
米饭	🍚
吃饭	🍚
咖喱	🍛
咖喱饭	🍛
一碗面	🍜
冒热气的碗	🍜
吃面	🍜
拉面	🍜
碗面	🍜
面条	🍜
泡面	🍜
米线	🍜
米粉	🍜
过桥米线	🍜
汤面	🍜
手擀面	🍜
意大利面	🍝
意大利面条	🍝
意粉	🍝
意面	🍝
拌面	🍝
葱油拌面	🍝
炸酱面	🍝
火鸡面	🍝
面包	🍞
薯条	🍟
地瓜	🍠
烤地瓜	🍠
烤甘薯	🍠
烤番薯	🍠
烤红薯	🍠
甘薯	🍠
番薯	🍠
红薯	🍠
团子	🍡
糯米团	🍡
串串	🍢
关东煮	🍢
寿司	🍣
天妇罗	🍤
炸虾	🍤
盘绕式炸鱼饼	🍥
鱼板	🍥
鱼饼	🍥
冰淇淋	🍦|🍨
冰激凌	🍦|🍨
冰淇凌	🍦|🍨
冰激淋	🍦|🍨
圆筒冰淇淋	🍦
圆筒冰激凌	🍦
甜筒	🍦
软冰淇淋	🍦
软冰激凌	🍦
圣代	🍨
冰沙	🍧
刨冰	🍧
油炸面圈	🍩
甜甜圈	🍩
cookie	🍪
cookies	🍪
曲奇	🍪
曲奇饼干	🍪
饼干	🍪
巧克力	🍫
巧克力棒	🍫
朱古力	🍫
朱古力棒	🍫
吃糖	🍬
糖	🍬
糖果	🍬
棒棒糖	🍭
布丁	🍮
甜品	🍮
甜点	🍮
蛋奶糕	🍮
蜂蜜	🍯
蜜罐	🍯
水果蛋糕	🍰
便当	🍱
便当盒	🍱
外卖	🍱|🥡
快餐	🍱
快餐盒	🍱
盒饭	🍱
平底锅	🍳
烹饪	🍳
煎蛋	🍳
刀叉	🍴
喝茶	🍵
泡茶	🍵
茶	🍵
茶杯	🍵
茶水	🍵
绿茶	🍵
红茶	🍵
白茶	🍵
黑茶	🍵
乌龙茶	🍵
抹茶	🍵
端茶	🍵
清酒	🍶
红酒杯	🍷
葡萄酒	🍷
酒	🍷
酒杯	🍷
鸡尾酒	🍸
冷饮	🍹
果饮	🍹
水果饮料	🍹
热带水果饮料	🍹
热带饮料	🍹
果茶	🍹
果汁	🍹|🧃
啤酒	🍺
干杯	🍻|🥂
碰杯	🍻|🥂
喝奶	🍼
奶瓶	🍼
餐具	🍽
开香槟	🍾
香槟	🍾
爆米花	🍿
蝴蝶结	🎀
包装	🎁
包装盒	🎁
礼品	🎁
礼品盒	🎁
礼物盒	🎁
生日蛋糕	🎂
蛋糕	🎂|🍰
万圣节	🎃
南瓜头	🎃
南瓜灯	🎃
圣诞树	🎄
圣诞老人	🎅
烟花	🎆|🎇
焰火	🎆|🎇
礼花	🎆|🎇|🎉
庆典	🎈
气球	🎈
恭喜	🎉
派对礼宾花	🎉
礼宾花	🎉
祝贺	🎉
五彩纸屑球	🎊
彩色碎纸	🎊
碎花彩球	🎊
糖果球	🎊
七夕	🎋
七夕树	🎋
七夕节	🎋
交叉旗	🎌
门松	🎍
竹	🎍
竹子	🎍
日本人偶	🎎
日本人形	🎎
日本娃娃	🎎
鲤鱼旗	🎏
风铃	🎐
中秋	🎑
中秋佳节	🎑
中秋节	🎑
观月	🎑
赏月	🎑
书包	🎒
双肩包	🎒
背包	🎒
背囊	🎒
四方帽	🎓
学士帽	🎓
毕业帽	🎓
军功勋章	🎖
军功章	🎖
勋章	🎖
丝带	🎗
黄丝带	🎗
录音室麦克风	🎙
录音麦克风	🎙
麦克风	🎙|🎤
滑块	🎚
电平滑块	🎚
控制旋钮	🎛
旋钮	🎛
电影	🎞
电影胶片	🎞
胶卷	🎞
胶片	🎞
菲林	🎞
入场券	🎟
旋转木马	🎠
游乐园	🎠
摩天轮	🎡
过山车	🎢
渔竿	🎣
钓竿	🎣
钓鱼	🎣
钓鱼竿	🎣
话筒	🎤
摄像机	🎥|📹
摄录机	🎥
摄影机	🎥
电影摄影机	🎥
电影院	🎦
头戴式耳机	🎧
耳机	🎧
画画	🎨
美术	🎨
艺术	🎨
调色板	🎨
调色盘	🎨
帽子	🎩
礼帽	🎩
高帽	🎩
马戏	🎪
马戏团	🎪
马戏团帐篷	🎪
门票	🎫
action	🎬
场记	🎬
场记板	🎬
打板	🎬
拍电影	🎬
表演艺术	🎭
面具	🎭
手柄	🎮
游戏	🎮
游戏手柄	🎮
电子游戏手柄	🎮
视频游戏手柄	🎮
命中	🎯
正中靶心的飞镖	🎯
靶心	🎯
飞镖	🎯
老虎机	🎰
赌博	🎰|🎲
赌场	🎰
台球	🎱
黑八	🎱
色子	🎲
酒桌游戏	🎲
骰子	🎲
保龄球	🎳
保龄球瓶	🎳
扑克牌	🎴
花扑克牌	🎴
花札	🎴
花牌	🎴
音乐	🎵|🎶
音符	🎵|🎶
管弦乐器	🎷
萨克斯	🎷
萨克斯管	🎷
萨克斯风	🎷
吉他	🎸
电吉他	🎸
琴键	🎹
钢琴	🎹
钢琴按键	🎹
钢琴键	🎹
音乐键盘	🎹
小号	🎺
小提琴	🎻
提琴	🎻
乐谱	🎼
五线谱	🎼
运动背心	🎽
网球	🎾
滑雪橇	🎿
滑雪装备	🎿
篮球	🏀
格子旗	🏁
终点	🏁
终点旗	🏁
单板滑雪	🏂
滑雪板	🏂
女子马拉松	🏃‍♀️‍➡️|🏃‍♀️
向左跑	🏃‍♂️|🏃‍♀️
往左跑	🏃‍♂️|🏃‍♀️
跑步	🏃‍♂️|🏃‍♀️
跑步者	🏃‍♂️|🏃‍♀️
马拉松	🏃‍♂️|🏃‍♀️
向右跑	🏃‍♂️‍➡️|🏃‍♀️‍➡️
往右跑	🏃‍♂️‍➡️|🏃‍♀️‍➡️
男子马拉松	🏃‍♂️‍➡️|🏃‍♂️
女子冲浪	🏄‍♀️
女生冲浪	🏄‍♀️
冲浪	🏄‍♂️|🏄‍♀️
冲浪者	🏄‍♂️|🏄‍♀️
男子冲浪	🏄‍♂️
男生冲浪	🏄‍♂️
奖牌	🏅
运动会奖牌	🏅
冠军	🏆
奖杯	🏆
赛马	🏇
赛马骑师	🏇
骑马	🏇|🐎
橄榄球	🏈|🏉
美式橄榄球	🏈
美式足球	🏈
英式橄榄球	🏉
女子游泳	🏊‍♀️
女生游泳	🏊‍♀️
泳客	🏊‍♂️|🏊‍♀️
游泳	🏊‍♂️|🏊‍♀️
游泳者	🏊‍♂️|🏊‍♀️
男子游泳	🏊‍♂️
男生游泳	🏊‍♂️
女举重运动员	🏋️‍♀️
女子举重	🏋️‍♀️
女生举重	🏋️‍♀️
举重	🏋️‍♂️|🏋️‍♀️
举重运动员	🏋️‍♂️|🏋️‍♀️
男举重运动员	🏋️‍♂️
男子举重	🏋️‍♂️
男生举重	🏋️‍♂️
女子高尔夫	🏌️‍♀️
女生打高尔夫	🏌️‍♀️
打高尔夫	🏌️‍♂️|🏌️‍♀️
打高尔夫的人	🏌️‍♂️|🏌️‍♀️
男子高尔夫	🏌️‍♂️
男生打高尔夫	🏌️‍♂️
高尔夫	🏌️‍♂️|🏌️‍♀️|⛳
高尔夫球手	🏌️‍♂️|🏌️‍♀️
摩托	🏍
摩托车	🏍
方程式赛车	🏎
赛车	🏎
板球	🏏
板球拍	🏏
排球	🏐
曲棍球	🏑
冰球	🏒
乒乓球	🏓
乒乓球拍	🏓
雪山	🏔
高山	🏔
营地	🏕
野营	🏕
露营	🏕
太阳伞	🏖
度假	🏖
沙滩伞	🏖|⛱️
建筑施工	🏗
施工	🏗|🚧
起重机	🏗
居民区	🏘
房屋群	🏘
城市	🏙
城市景观	🏙
城市风光	🏙
都市	🏙
都市景观	🏙
都市风光	🏙
危楼	🏚
废弃的房屋	🏚
荒宅	🏚
博物馆	🏛
古典建筑	🏛
古建筑	🏛
沙漠	🏜
荒漠	🏜
无人岛	🏝
无人荒岛	🏝
荒岛	🏝
国家公园	🏞
体育场	🏟
体育馆	🏟
足球场	🏟
住宅楼	🏠
家	🏠
房子	🏠
房屋	🏠
别墅	🏡
带花园的楼房	🏡
写字楼	🏢
办公楼	🏢
日本邮局	🏣
邮局	🏣|🏤
欧洲邮局	🏤
医院	🏥
银行	🏦
ATM	🏧
取款机	🏧
提款机	🏧
宾馆	🏨
旅店	🏨
旅馆	🏨
酒店	🏨
情人宾馆	🏩
情人旅店	🏩
情人旅馆	🏩
情人酒店	🏩
情侣宾馆	🏩
情侣旅店	🏩
情侣旅馆	🏩
情侣酒店	🏩
爱情宾馆	🏩
爱情旅店	🏩
爱情旅馆	🏩
爱情酒店	🏩
便利商店	🏪
便利店	🏪
商店	🏪
小商店	🏪
学校	🏫
教学楼	🏫
商场	🏬
商超	🏬
百货商店	🏬
超市	🏬
工厂	🏭
大红灯笼	🏮
大红灯笼高高挂	🏮
居酒屋	🏮
居酒屋灯笼	🏮
灯笼	🏮
红灯笼	🏮
城堡	🏯|🏰
日式城堡	🏯
日本城堡	🏯
欧式城堡	🏰
欧洲城堡	🏰
举白旗	🏳
投降	🏳
白旗	🏳
白色旗子	🏳
白色旗帜	🏳
认输	🏳
认输了	🏳
跨性别旗	🏳️‍⚧️
同性旗	🏳️‍🌈
彩虹旗	🏳️‍🌈
举黑旗	🏴
黑旗	🏴
黑色旗	🏴
黑色旗子	🏴
黑色旗帜	🏴
海盗	🏴‍☠️
海盗旗	🏴‍☠️
海贼	🏴‍☠️
海贼旗	🏴‍☠️
英格兰	🏴󠁧󠁢󠁥󠁮󠁧󠁿
苏格兰	🏴󠁧󠁢󠁳󠁣󠁴󠁿
威尔士	🏴󠁧󠁢󠁷󠁬󠁳󠁿
玫瑰花结	🏵
花结	🏵
花饰	🏵
吊牌	🏷
标签	🏷
球拍	🏸
羽毛球	🏸
羽毛球拍	🏸
弓和箭	🏹
弓箭	🏹
双耳瓶	🏺
浅肤色	🏻
肤色	🏻|🏼|🏽|🏾|🏿
中等浅肤色	🏼
较浅肤色	🏼
中等肤色	🏽
中等深肤色	🏾
较深肤色	🏾
深肤色	🏿
大鼠	🐀
小白鼠	🐁
小老鼠	🐁
小鼠	🐁
白鼠	🐁
公牛	🐂
黄牛	🐂
水牛	🐃
奶牛	🐄
猎豹	🐆
花豹	🐆
豹	🐆
豹子	🐆
金钱豹	🐆
大白兔	🐇
小兔子	🐇
小白兔	🐇
橘猫	🐈
小黑猫	🐈‍⬛
黑猫	🐈‍⬛
一条龙	🐉
巨龙	🐉
神龙	🐉
鳄鱼	🐊
蜗牛	🐌
Python	🐍
一条蛇	🐍
小蛇	🐍
蛇	🐍
蛇蛇	🐍
小马	🐎
骏马	🐎
公羊	🐏
山羊	🐐
小羊	🐑
母羊	🐑
绵羊	🐑
羊	🐑
羊羊	🐑
猴子	🐒
马骝	🐒
公鸡	🐓|🐔
大公鸡	🐓
雄鸡	🐓
鸡	🐔
鸡头	🐔
犬	🐕
狗子	🐕
狗狗	🐕
工作犬	🐕‍🦺
服务犬	🐕‍🦺
山猪	🐗
野猪	🐗
大象	🐘
八爪鱼	🐙
章鱼	🐙
海螺	🐚
贝壳	🐚
bug	🐛
毛毛虫	🐛
毛虫	🐛
虫	🐛
虫子	🐛
蚂蚁	🐜
小蜜蜂	🐝
蜜蜂	🐝
七星瓢虫	🐞
瓢虫	🐞
小鱼	🐟
小鱼儿	🐟
鱼	🐟
鱼儿	🐟
热带鱼	🐠
河豚	🐡
鲀	🐡
乌龟	🐢
海龟	🐢
龟	🐢
出生	🐣
孵化小鸡	🐣
小鸡	🐣|🐤|🐥
小鸡破壳	🐣
破壳	🐣
小鸡头	🐤
小鸡鸡	🐥
小鸟	🐦
鸟	🐦
鸟头	🐦
乌鸦	🐦‍⬛
黑色小鸟	🐦‍⬛
黑鸟	🐦‍⬛
不死鸟	🐦‍🔥
凤凰	🐦‍🔥
企鹅	🐧
无尾熊	🐨
树袋熊	🐨
考拉	🐨
卷毛狗	🐩
贵宾犬	🐩
单峰驼	🐪
单峰骆驼	🐪
骆驼	🐪|🐫
双峰驼	🐫
双峰骆驼	🐫
海豚	🐬
老鼠	🐭|🐀
老鼠头	🐭
老鼠脸	🐭
耗子	🐭|🐀
鼠	🐭
鼠头	🐭
鼠脸	🐭
小牛	🐮
牛	🐮
牛头	🐮
牛牛	🐮
牛脸	🐮
老虎	🐯|🐅
老虎头	🐯
老虎脸	🐯
虎	🐯
虎头	🐯
虎脸	🐯
兔	🐰
兔头	🐰
兔子	🐰|🐇
兔子头	🐰
兔子脸	🐰
兔脸	🐰
喵	🐱
喵喵	🐱
喵喵叫	🐱
喵喵喵	🐱
小猫	🐱|🐈
小猫咪	🐱|🐈
猫	🐱
猫咪	🐱|🐈
猫头	🐱
猫脸	🐱
中国龙	🐲
龙	🐲|🐉
龙头	🐲
龙王	🐲
喷水	🐳
喷水的鲸	🐳
喷水的鲸鱼	🐳
鲸鱼	🐳|🐋
马	🐴|🐎
马儿	🐴|🐎
马头	🐴
马脸	🐴
猴	🐵|🐒
猴头	🐵
猴脸	🐵
Doge	🐶
小狗	🐶|🐕
旺柴	🐶
旺财	🐶
狗	🐶|🐕
狗仔	🐶
狗头	🐶
狗脸	🐶
小猪	🐷
懒猪	🐷
猪	🐷|🐖
猪头	🐷
猪猪	🐷|🐖
猪脸	🐷
蛤	🐸
蛤蛤	🐸
蛤蟆	🐸
青蛙	🐸
青蛙头	🐸
青蛙脸	🐸
仓鼠	🐹
仓鼠头	🐹
仓鼠脸	🐹
狼	🐺
狼头	🐺
狼脸	🐺
小熊	🐻
熊	🐻
熊头	🐻
熊脸	🐻
北极熊	🐻‍❄️
北极熊头	🐻‍❄️
北极熊脸	🐻‍❄️
panda	🐼
国宝	🐼
大熊猫	🐼
熊猫	🐼
熊猫人	🐼
熊猫头	🐼
熊猫脸	🐼
猫熊	🐼
胖达	🐼
猪鼻	🐽
猪鼻子	🐽
动物脚印	🐾
掌印	🐾
爪印	🐾
松鼠	🐿
花栗鼠	🐿
花鼠	🐿
注视	👀
盯	👀
看	👀
看看	👀
眼	👀|👁
眼睛	👀|👁
观察	👀
一只眼	👁
一只眼睛	👁
单眼	👁
瞳孔	👁
我是证人	👁️‍🗨️
证人	👁️‍🗨️
听	👂
耳	👂
耳朵	👂
呼吸	👃
嗅	👃
闻	👃
鼻	👃
鼻子	👃
口	👄
嘴	👄
嘴唇	👄
嘴巴	👄
舌	👅
舌头	👅
上边	👆
上面	👆
反手食指向上指	👆
向上	👆
向上指	👆
往上	👆
往上指	👆
下边	👇
下面	👇
反手食指向下指	👇
向下	👇
向下指	👇
往下	👇
往下指	👇
反手食指向左指	👈
向左	👈
向左指	👈
左边	👈
左面	👈
往左	👈
往左指	👈
反手食指向右指	👉
右边	👉
右面	👉
向右	👉
向右指	👉
往右	👉
往右指	👉
出拳	👊
干你	👊
打你	👊
打击	👊
拳头	👊
揍你	👊
握紧的拳头	👊
重拳出击	👊
你好	👋
再见	👋
嗨	👋
拜拜	👋
挥手	👋
摆手	👋
OK	👌|🙆‍♂️|🙆‍♀️|🆗
好	👌|🙆‍♂️|🙆‍♀️
好哒	👌
好的	👌|🙆‍♂️|🙆‍♀️
没问题	👌
不错	👍
厉害	👍
大拇指	👍|👎
大拇指向上	👍
大拇指朝上	👍
太棒	👍
太棒了	👍
太棒啦	👍
好强	👍
好棒	👍
干得好	👍
强	👍
很好	👍
很棒	👍
拇指	👍|👎
拇指向上	👍|👎
拇指朝上	👍
棒	👍
棒啊	👍
棒棒	👍
棒棒哒	👍
棒棒的	👍
点赞	👍
牛逼	👍
特棒	👍
真棒	👍
绝了	👍
表扬	👍
赞	👍
非常棒	👍
不好	👎
不强	👎
不棒	👎
大拇指向下	👎
大拇指朝下	👎
太差	👎
太差了	👎
太差啦	👎
差劲	👎
很差	👎
拇指朝下	👎
啪啪啪	👏
拍手	👏
拍掌	👏
鼓掌	👏
双手张开	👐
张开双手	👐
王冠	👑
皇冠	👑
皇族	👑
女帽	👒
宽檐帽	👒
带蝴蝶结的帽子	👒
眼镜	👓
近视	👓
近视眼	👓
衣服	👔
衬衫领带	👔
领带	👔
T恤	👕
T恤衫	👕
上衣	👕
恤衫	👕
汗衫	👕
男士衬衫	👕
男衬衫	👕
短袖	👕
衬衫	👕
牛仔裤	👖
裤子	👖
裙子	👗
连衣裙	👗
长裙	👗
和服	👘
浴衣	👘
三点式	👙
内衣	👙
比基尼	👙
女士衬衫	👚
女衬衫	👚
女装	👚
女士钱包	👛
钱包	👛
零钱包	👛
包包	👜
女包	👜
手提包	👜
挎包	👜
提包	👜
手拿包	👝
皮包	👝
荷包	👝
男鞋	👞
皮鞋	👞
休闲鞋	👟
板儿鞋	👟
板鞋	👟
网球鞋	👟
跑步鞋	👟
跑鞋	👟
运动鞋	👟
鞋子	👟
女鞋	👠
高跟儿	👠
高跟儿鞋	👠
高跟鞋	👠
女式凉鞋	👡
高跟儿凉鞋	👡
高跟凉鞋	👡
女靴	👢
长靴	👢
靴子	👢
高跟儿靴	👢
高跟靴	👢
脚印	👣
足迹	👣
人物剪影	👤
半身像	👤|👥
头像	👤
双人	👥
双人像	👥
儿子	👦
小男孩	👦
男孩	👦
女儿	👧
女孩	👧
小女孩	👧
成年男人	👨
成年男性	👨
父亲	👨
爸爸	👨
男人	👨
老爹	👨
医护人员	👨‍⚕️|👩‍⚕️
医生	👨‍⚕️|👩‍⚕️
大夫	👨‍⚕️|👩‍⚕️
男医护人员	👨‍⚕️
男医生	👨‍⚕️
男大夫	👨‍⚕️
法官	👨‍⚖️|👩‍⚖️
男法官	👨‍⚖️
男飞行员	👨‍✈️
飞行员	👨‍✈️|👩‍✈️
同性恋	👨‍❤️‍👨|👩‍❤️‍👩
玻璃	👨‍❤️‍👨
男同	👨‍❤️‍👨
男同性恋	👨‍❤️‍👨
农夫	👨‍🌾
农民	👨‍🌾|👩‍🌾
下厨	👨‍🍳|👩‍🍳
做饭	👨‍🍳|👩‍🍳
厨师	👨‍🍳|👩‍🍳
大厨	👨‍🍳|👩‍🍳
男厨师	👨‍🍳
哺乳的男人	👨‍🍼
奶爸	👨‍🍼
大学生	👨‍🎓|👩‍🎓
学生	👨‍🎓|👩‍🎓
本科生	👨‍🎓|👩‍🎓
毕业	👨‍🎓|👩‍🎓
男大	👨‍🎓
男大学生	👨‍🎓
男学生	👨‍🎓
摇滚歌手	👨‍🎤|👩‍🎤
摇滚男歌手	👨‍🎤
朋克	👨‍🎤|👩‍🎤
歌手	👨‍🎤|👩‍🎤
男摇滚歌手	👨‍🎤
男歌手	👨‍🎤
重金属	👨‍🎤|👩‍🎤
漫画家	👨‍🎨|👩‍🎨
男漫画家	👨‍🎨
男画家	👨‍🎨
男艺术家	👨‍🎨
画家	👨‍🎨|👩‍🎨
艺术家	👨‍🎨|👩‍🎨
教师	👨‍🏫|👩‍🏫
男教师	👨‍🏫
男老师	👨‍🏫
老师	👨‍🏫|👩‍🏫
工厂工人	👨‍🏭|👩‍🏭
男工厂工人	👨‍🏭
父子	👨‍👦
父女	👨‍👧
一家三口	👨‍👩‍👦|👨‍👩‍👧
一家人	👨‍👩‍👦|👨‍👩‍👧|👨‍👩‍👧‍👦|👨‍👩‍👦‍👦|👨‍👩‍👧‍👧
三口之家	👨‍👩‍👦|👨‍👩‍👧
一家四口	👨‍👩‍👧‍👦|👨‍👩‍👦‍👦|👨‍👩‍👧‍👧
四口之家	👨‍👩‍👧‍👦|👨‍👩‍👦‍👦|👨‍👩‍👧‍👧
开发人员	👨‍💻|👩‍💻
技术员	👨‍💻|👩‍💻
男开发人员	👨‍💻
男技术员	👨‍💻
男码农	👨‍💻
男码畜	👨‍💻
男程序员	👨‍💻
码农	👨‍💻|👩‍💻
码畜	👨‍💻|👩‍💻
程序员	👨‍💻|👩‍💻
办公室职员	👨‍💼|👩‍💼
男办公室职员	👨‍💼
男白领	👨‍💼
男职员	👨‍💼
白领	👨‍💼|👩‍💼
职员	👨‍💼|👩‍💼
修理工	👨‍🔧|👩‍🔧
技工	👨‍🔧|👩‍🔧
水管工	👨‍🔧|👩‍🔧
电工	👨‍🔧|👩‍🔧
男修理工	👨‍🔧
男技工	👨‍🔧
男水管工	👨‍🔧
男电工	👨‍🔧
化学家	👨‍🔬|👩‍🔬
男化学家	👨‍🔬
男科学家	👨‍🔬
科学家	👨‍🔬|👩‍🔬
宇航员	👨‍🚀|👩‍🚀
男宇航员	👨‍🚀
消防员	👨‍🚒|👩‍🚒
男消防员	👨‍🚒
拄盲杖的人	👨‍🦯|👩‍🦯
拿着白手杖的人	👨‍🦯|👩‍🦯
红发	👨‍🦰|👩‍🦰|🦰
红发男	👨‍🦰|👨‍🦱
红发男人	👨‍🦰|👨‍🦱
红发男子	👨‍🦰|👨‍🦱
红色头发	👨‍🦰|👩‍🦰|🦰
卷发	👨‍🦱|👩‍🦱|🦱
光头	👨‍🦲|👩‍🦲|🦲
光头男	👨‍🦲
光头男人	👨‍🦲
光头男子	👨‍🦲
和尚	👨‍🦲
头秃	👨‍🦲|👩‍🦲|🦲
秃头	👨‍🦲|👩‍🦲|🦲
秃顶	👨‍🦲|👩‍🦲|🦲
脱发	👨‍🦲|👩‍🦲|🦲
白发	👨‍🦳|👩‍🦳|🦳
白发男	👨‍🦳
白发男人	👨‍🦳
白发男子	👨‍🦳
白色头发	👨‍🦳|👩‍🦳
坐电动轮椅的人	👨‍🦼|👩‍🦼
坐电动轮椅的男人	👨‍🦼
坐手动轮椅的人	👨‍🦽|👩‍🦽
坐手动轮椅的男人	👨‍🦽
女人	👩
妈妈	👩
成年女人	👩
成年女性	👩
母亲	👩
老妈	👩
女医护人员	👩‍⚕️
女医生	👩‍⚕️
女大夫	👩‍⚕️
女法官	👩‍⚖️
女飞行员	👩‍✈️
恋爱	👩‍❤️‍👨
相爱	👩‍❤️‍👨
谈恋爱	👩‍❤️‍👨
女同	👩‍❤️‍👩
女同性恋	👩‍❤️‍👩
拉拉	👩‍❤️‍👩
农妇	👩‍🌾
女厨师	👩‍🍳
哺乳的女人	👩‍🍼
奶妈	👩‍🍼
女大	👩‍🎓
女大学生	👩‍🎓
女学生	👩‍🎓
女摇滚歌手	👩‍🎤
女歌手	👩‍🎤
摇滚女歌手	👩‍🎤
女漫画家	👩‍🎨
女画家	👩‍🎨
女艺术家	👩‍🎨
女教师	👩‍🏫
女老师	👩‍🏫
女工厂工人	👩‍🏭
母子	👩‍👦
母女	👩‍👧
女开发人员	👩‍💻
女技术员	👩‍💻
女码农	👩‍💻
女码畜	👩‍💻
女程序员	👩‍💻
女办公室职员	👩‍💼
女白领	👩‍💼
女职员	👩‍💼
女修理工	👩‍🔧
女技工	👩‍🔧
女水管工	👩‍🔧
女电工	👩‍🔧
女化学家	👩‍🔬
女科学家	👩‍🔬
女宇航员	👩‍🚀
女消防员	👩‍🚒
红发女	👩‍🦰
红发女人	👩‍🦰
红发女子	👩‍🦰
红头发	👩‍🦰|🦰
卷发女	👩‍🦱
卷发女人	👩‍🦱
卷发女子	👩‍🦱
光头女	👩‍🦲
光头女人	👩‍🦲
光头女子	👩‍🦲
尼姑	👩‍🦲
白发女	👩‍🦳
白发女人	👩‍🦳
白发女子	👩‍🦳
坐电动轮椅的女人	👩‍🦼
坐手动轮椅的女人	👩‍🦽
情侣	👫
手拉手的情侣	👫
牵手的情侣	👫
两个牵手的男人	👬
两个男人	👬
兄弟	👬
基友	👬
好兄弟	👬
好基友	👬
两个女人	👭
两个牵手的女人	👭
闺蜜	👭
女警官	👮‍♀️
女警察	👮‍♀️
男警官	👮‍♂️
男警察	👮‍♂️
警官	👮‍♂️|👮‍♀️
警察	👮‍♂️|👮‍♀️
兔女郎	👯‍♀️
兔先生	👯‍♂️
兔耳朵	👯‍♂️|👯‍♀️
头纱	👰‍♀️
婚纱	👰‍♀️
戴头纱的人	👰‍♀️
新娘	👰‍♀️
新娘子	👰‍♀️
男新娘	👰‍♂️
金发	👱|👱‍♀️|👱‍♂️
金发女	👱|👱‍♀️
金发女人	👱|👱‍♀️
金发女子	👱|👱‍♀️
金色头发	👱|👱‍♀️|👱‍♂️
金发男	👱‍♂️
金发男人	👱‍♂️
金发男子	👱‍♂️
中国帽	👲
地主	👲
瓜皮帽	👲
头巾	👳‍♂️|👳‍♀️|🧕
戴头巾	👳‍♂️|👳‍♀️
戴头巾的人	👳‍♂️|👳‍♀️
外公	👴
姥爷	👴
爷爷	👴
祖父	👴
老人	👴|👵
老头	👴
老头儿	👴
老爷爷	👴
外婆	👵
奶奶	👵
姥姥	👵
祖母	👵
老太太	👵
老奶奶	👵
baby	👶
乖宝	👶
乖宝宝	👶
婴儿	👶|🚼
宝宝	👶
小宝贝	👶
小宝贝儿	👶
女农民工	👷‍♀️
女工人	👷‍♀️
女建筑工	👷‍♀️
女建筑工人	👷‍♀️
农民工	👷‍♂️|👷‍♀️
工人	👷‍♂️|👷‍♀️
建筑工	👷‍♂️|👷‍♀️
建筑工人	👷‍♂️|👷‍♀️
男农民工	👷‍♂️
男工人	👷‍♂️
男建筑工	👷‍♂️
男建筑工人	👷‍♂️
公主	👸
女王	👸
女皇	👸
小公主	👸
王后	👸
皇后	👸
怪物	👹
鬼怪	👹
妖怪	👺
幽灵	👻
鬼	👻
鬼魂	👻
天使	👼
天使宝宝	👼
小天使	👼
外星人	👽
外星怪物	👾
异形怪兽	👾
怪兽	👾
恶魔生气	👿
生气恶魔	👿
生气的恶魔	👿
头骨	💀|☠️
死亡	💀|☠️
骷髅	💀|☠️
骷髅头	💀|☠️
女服务员	💁‍♀️
女服务生	💁‍♀️
服务员	💁‍♂️|💁‍♀️
服务生	💁‍♂️|💁‍♀️
男服务员	💁‍♂️
男服务生	💁‍♂️
女卫兵	💂‍♀️
女卫士	💂‍♀️
卫兵	💂‍♂️|💂‍♀️
卫士	💂‍♂️|💂‍♀️
男卫兵	💂‍♂️
男卫士	💂‍♂️
舞女	💃
跳舞	💃|🕺
跳舞的女人	💃
口红	💄
唇膏	💄
做指甲	💅
做美甲	💅
指甲油	💅
涂指甲油	💅
美甲	💅
按摩	💆‍♂️|💆‍♀️
美容	💆‍♂️|💆‍♀️
做造型	💇‍♂️|💇‍♀️
剪发	💇‍♂️|💇‍♀️
剪头	💇‍♂️|💇‍♀️
剪头发	💇‍♂️|💇‍♀️
理发	💇‍♂️|💇‍♀️
理头	💇‍♂️|💇‍♀️
理头发	💇‍♂️|💇‍♀️
美容美发	💇‍♂️|💇‍♀️
理发店	💈
理发店招牌	💈
打针	💉
注射器	💉
胶囊	💊
药丸	💊
kiss	💋
么么	💋
么么哒	💋
亲	💋
亲吻	💋
亲嘴	💋
吻	💋
吻痕	💋
唇	💋|👄
唇印	💋
红唇	💋|👄
情书	💌
戒指	💍
星钻	💍
求婚戒	💍
订婚戒	💍
钻戒	💍
宝石	💎
钻石	💎
捧花	💐
花束	💐
鲜花	💐
婚礼	💒
教堂	💒|⛪
love	💓|💕|👩‍❤️‍👨|♥️
心动	💓
心跳	💓
爱情	💓|💕|👩‍❤️‍👨
伤心	💔
失恋	💔
心碎	💔
两颗心	💕
粉色的心	💕|🩷
爱心	💖|💓|♥️
闪亮的心	💖
搏动的心	💗
