he	他|氦
defeats	击败
defecate	排便
defecation	排便
defect	缺陷
defected	有缺陷的
defecting	叛逃中
defection	叛逃
defections	叛逃事件
defective	有缺陷的
defector	叛逃者
defects	缺陷
defence	防御
defenceless	无防御的
defend	辩护
defendant	被告
defendants	被告
defended	已辩护
defender	辩护者
defenders	辩护者
defending	辩护中
defends	辩护
defenestrate	扔出窗外
defenestrated	被扔出窗外
defenestrates	扔出窗外
defenestrating	扔出窗外
defenestration	扔出窗外
defense	防御
defenseless	无防备
defenses	防御
defensibility	可辩护性
defensible	可辩护的
defensive	防御的
defer	推迟
deference	尊重
deferent	输送的
deferential	恭敬的
deferment	延期
deferments	延期
deferrable	可延期的
deferred	延期的
deferrer	推迟者
deferrers	推迟者
deferring	推迟
defers	推迟
defferent	不同的
defiance	违抗
defiant	违抗的
defiantly	违抗地
deficiencies	缺陷
deficiency	缺陷
deficient	不足
deficit	赤字
deficits	赤字
defied	违抗
defies	违抗
defilade	遮蔽
defile	玷污
defilement	污损
defiling	玷污
definable	可定义
definately	肯定
define	定义
defined	已定义
definer	定义者
defines	定义
defining	定义
definite	明确
definitely	肯定
definiteness	明确性
definition	定义
definitional	定义的
definitions	定义
definitive	权威
definitively	最终
definitude	明确
deflagrate	爆燃
deflate	紧缩
deflater	紧缩器
deflation	通货紧缩
deflationary	通缩
deflect	偏转
deflection	偏转
deflective	偏转的
deflector	偏转器
defloration	破处
deflower	破处
defluent	流下的
defoam	消泡
defocus	散焦
defocusing	散焦
defoe	笛福
defog	除雾
defoliate	落叶
defoliation	落叶
deforest	砍伐森林
deforestation	砍伐森林
deform	变形
deformation	变形
deformations	变形
deformed	变形的
deformities	畸形
deformity	畸形
defraud	诈骗
defrauded	被骗
defrauding	诈骗
defrauds	诈骗
defray	支付
defrost	除霜
defroster	除霜器
deft	灵巧
deftly	灵巧地
defunct	失效的
defuse	化解
defy	违抗
defying	违抗
degas	脱气
degassing	脱气
degauss	消磁
degaussing	消磁
degeneracy	退化
degenerate	退化的
degenerated	退化的
degeneratemodes	退化模式
degenerates	退化
degenerating	退化
degeneration	退化
degenerative	退化的
deglaciation	冰川消退
deglutition	吞咽
degradable	可降解的
degradation	降解
degradations	降解
degrade	降低
degraded	降低的
degrades	降低
degrading	降低
degrease	脱脂
degree	程度
degrees	程度
degression	递减
degressive	递减的
dehiscent	开裂的
dehumidification	除湿
dehumidifier	除湿器
dehumidify	除湿
dehydrate	脱水
dehydrated	脱水的
dehydration	脱水
dehydrogenase	脱氢酶
dehypnotise	解除催眠
dehypnotize	解除催眠
deice	除冰
deicer	除冰器
deicide	弑神
deification	神化
deiform	神形的
deify	神化
deign	屈尊
deigned	屈尊了
deigning	屈尊
deigns	屈尊
deimos	火卫二
deionization	去离子
deirdre	迪尔德丽
deirdres	迪尔德丽
deism	自然神论
deist	自然神论者
deistic	自然神论的
deities	神祇
deity	神
déjà vu	既视感
deject	沮丧
dejected	沮丧的
dejectedly	沮丧地
dejection	沮丧
dekalb	迪卡尔布
dekastere	德卡斯特雷
del	删除
del	德尔
delaney	德莱尼
delano	德拉诺
delaware	特拉华州
delay	延迟
delayed	延迟的
delaying	延迟中
delays	延迟
delectable	美味的
delectation	愉悦
delegacy	代表团
delegate	代表
delegated	已委派
delegates	代表
delegating	委派中
delegation	代表团
delegations	代表团
delete	删除
deleted	已删除
deleter	删除者
deleterious	有害的
deletes	删除
deleting	删除
deletion	删除
deletions	删除
delft	代尔夫特
delhi	德里
delia	迪莉娅
deliberate	故意的
deliberated	深思熟虑的
deliberately	故意地
deliberateness	慎重
deliberates	深思熟虑
deliberating	深思熟虑
deliberation	深思熟虑
deliberations	深思熟虑
deliberative	审议的
deliberator	审议者
deliberators	审议者
delicacies	美食
delicacy	精致
delicate	精致的
delicately	精致地
delicatessen	熟食店
delicious	美味的
deliciously	美味地
delict	不法行为
delight	喜悦
delighted	高兴的
delightedly	高兴地
delightful	令人愉快的
delightfully	愉快地
delighting	令人高兴
delights	喜悦
delilah	黛利拉
delimit	划定
delimitation	划界
delimited	已划定
delimiter	分隔符
delimiters	分隔符
delimiting	划定中
delimits	划定
delineament	轮廓
delineate	描绘
delineated	已描绘
delineates	描绘
delineating	描绘中
delineation	描绘
delinquency	失职
delinquent	失职者
deliquesce	潮解
deliquescence	潮解性
deliquescent	易潮解的
delirious	精神错乱
deliriously	精神错乱地
delirium	谵妄
deliver	交付
deliverable	可交付的
deliverables	可交付成果
deliverance	解救
delivered	已交付
deliverer	递送者
deliverers	递送者
deliveries	递送
delivering	递送中
delivers	递送
delivery	递送
dell	小谷
della	黛拉
delle	的
dells	小谷
dellwood	戴尔伍德
delmarva	德尔马瓦
delocalise	去局域化
delocalize	去局域化
deloldos	德尔奥多斯
delouse	除虱
delphi	德尔斐
delphic	德尔斐的
delphically	德尔斐式地
delphinium	飞燕草
delphinus	海豚座
delta	三角洲
deltas	三角洲
deltoid	三角肌
delude	欺骗
deluded	受骗的
deludes	欺骗
deluding	欺骗中
deluge	洪水
deluged	被淹的
deluges	洪水
delusion	妄想
delusions	妄想
delusive	虚假的
deluxe	豪华的
delve	钻研
delves	钻研
delving	钻研
demagnetise	消磁
demagnetization	消磁
demagnetize	消磁
demagnify	缩小
demagogog	煽动者
demagogue	煽动者
demagoguery	煽动
demand	需求
demandable	可要求的
demanded	被要求的
demander	要求者
demanding	苛刻的
demandingly	苛求地
demands	需求
demarcate	划定
demarcation	分界
demean	贬低
demeanor	举止
demeanour	举止
dement	使发狂
demented	疯狂的
dementia	痴呆
demerit	缺点
demesne	领地
demeter	得墨忒耳
demigod	半神
demijohn	大肚瓶
demilitarise	非军事化
demilitarization	非军事化
demilitarize	非军事化
demilune	半月堡
demineralise	脱矿
demineralised	脱矿的
demineraliser	脱矿器
demineralize	脱矿
demineralized	脱矿的
demise	死亡
demit	辞职
demitint	半色调
demiurge	造物主
demiurgic	造物的
demo	演示
demobilise	复员
demobilization	复员
demobilize	复员
democracies	民主国家
democracy	民主
democrat	民主党人
democratic	民主的
democratically	民主地
democratise	民主化
democratism	民主主义
democratization	民主化
democratize	民主化
democrats	民主党人
demodulate	解调
demodulation	解调
demodulator	解调器
demographer	人口学家
demographic	人口的
demographics	人口统计
demography	人口学
demolish	拆除
demolished	已拆除
demolishes	拆除
demolition	拆除
demon	恶魔
demonetise	非货币化
demonetization	非货币化
demonetize	非货币化
demoniac	恶魔般的
demonic	恶魔的
demonise	妖魔化
demonism	恶魔崇拜
demonize	妖魔化
demonopolise	去垄断
demonopolize	去垄断
demons	恶魔
demonstrable	可证明的
demonstrably	明显地
demonstrate	演示
demonstrated	已演示
demonstrates	展示
demonstrating	展示
demonstration	演示
demonstrations	演示
demonstrative	指示的
demonstratively	指示地
demonstrator	演示者
demonstrators	演示者
demoralise	挫败
demoralised	挫败的
demoralization	士气低落
demoralize	挫败
demoralized	挫败的
demoralizes	挫败
demoralizing	挫败的
demorgan	德摩根
demos	演示
demote	降级
demoted	降级的
demotes	降级
demotic	通俗的
demoting	降级
demotion	降级
demotions	降级
demount	拆卸
demountable	可拆卸的
dempsey	登普西
demulcent	缓和的
demultiplex	解复用
demultiplexed	解复用的
demultiplexer	解复用器
demultiplexers	解复用器
demultiplexing	解复用
demur	反对
demure	端庄的
demurrage	滞期费
demurrer	抗辩
demux	解复用
demystify	阐明
demythologize	去神话化
den	巢穴
denary	十进制的
denationalise	去国有化
denationalize	去国有化
denaturant	变性剂
denaturation	变性
denature	变性
denazify	去纳粹化
dendrite	树突
dendritic	树突状的
dendroid	树状的
dendrolite	树化石
dendrology	树木学
dendrometer	测树仪
deneb	天津四
denebola	五帝座一
deneen	迪宁
denergise	断电
denergize	断电
dengue	登革热
deniable	可否认的
denial	否认
denials	否认
denicotinise	脱尼古丁
denicotinize	脱尼古丁
denied	否认
denier	否认者
denies	否认
denigrate	诋毁
denigrated	诋毁
denigrates	诋毁
denigrating	诋毁
denim	牛仔布
denis	丹尼斯
denise	丹尼斯
denish	丹尼什
denizen	居民
denmark	丹麦
dennis	丹尼斯
denny	丹尼
denominate	命名
denomination	教派
denominations	教派
denominator	分母
denominators	分母
denotable	可表示的
denotation	表示
denotational	表示的
denotationally	表示上
denotations	表示
denotative	外延的
denote	表示
denoted	表示
denotes	表示
denoting	表示
denounce	谴责
denounced	谴责
denounces	谴责
denouncing	谴责
dens	兽穴
dense	密集的
densely	密集地
denseness	密集
denser	更密集的
densest	最密集的
densities	密度
densitometer	密度计
density	密度
dent	凹痕
dental	牙齿的
dentally	牙齿地
dentaphone	牙听器
dentate	齿状的
dented	凹陷的
dentifrice	牙粉
dentil	齿饰
denting	凹陷
dentist	牙医
dentistry	牙科学
dentists	牙医
dentition	牙列
denton	登顿
dents	凹痕
denture	假牙
denudation	剥蚀
denude	剥光
denumerable	可数的
denunciate	谴责
denunciation	谴责
denver	丹佛
deny	否认
denying	否认
deodar	雪松
deodorant	除臭剂
deodorise	除臭
deodorization	除臭
deodorize	除臭
deontology	义务论
deoxidise	脱氧
deoxidiser	脱氧剂
deoxidize	脱氧
deoxidizer	脱氧剂
deoxygenate	脱氧
deoxyriboneucleic	脱氧核糖核酸
deoxyribonucleic	脱氧核糖核酸
depart	离开
departed	逝去的
departing	离开
department	部门
departmental	部门的
departmentalism	本位主义
departments	部门
departs	离开
departure	出发
departures	出发
depay	德佩
depeche	快讯
depend	依赖
dependability	可靠性
dependable	可靠的
dependably	可靠地
dependant	受抚养者
depended	依赖
dependence	依赖
dependencies	依赖
dependency	依赖
dependent	依赖的
dependently	依赖地
dependents	受抚养者
depending	取决于
depends	依赖
deperm	消磁
dephlegmate	分馏
depict	描绘
depicted	描绘
depicting	描绘
depiction	描绘
depicts	描绘
depilate	脱毛
depilation	脱毛
depilatory	脱毛剂
deplane	下飞机
deplete	耗尽
depleted	耗尽的
depletes	耗尽
depleting	耗尽中
depletion	耗尽
depletions	耗尽
depletive	耗尽的
deplorable	可悲的
deplorably	可悲地
deplore	谴责
deplored	谴责了
deplores	谴责
deploring	谴责中
deploy	部署
deployed	已部署
deploying	部署中
deployment	部署
deployments	部署
deploys	部署
deplume	拔毛
depolarise	去极化
depolarization	去极化
depolarize	去极化
depolarizer	去极化剂
depolarzer	去极化剂
depone	作证
depopulate	减少人口
deport	驱逐
deportation	驱逐
deportee	被驱逐者
deportment	举止
deposable	可罢免的
deposal	罢免
depose	罢免
deposed	被罢免的
deposes	罢免
deposit	存款
depositary	保管人
deposited	已存入的
depositing	存入
deposition	证言
depositions	证言
depositor	储户
depositors	储户
depository	仓库
deposits	存款
depot	仓库
depots	仓库
depravation	堕落
deprave	使堕落
depraved	堕落的
depravity	堕落
deprecate	反对
deprecated	已反对的
deprecatingly	反对地
deprecation	反对
deprecatory	反对的
depreciate	贬值
depreciated	贬值的
depreciates	贬值
depreciation	贬值
depredate	掠夺
depredation	掠夺
depress	压抑
depressant	抑制剂
depressed	沮丧的
depresses	压抑
depressible	可压抑的
depressing	压抑的
depression	抑郁
depressions	抑郁
depressive	抑郁的
depressor	抑制剂
deprivable	可剥夺的
deprival	剥夺
deprivation	剥夺
deprivations	剥夺
deprive	剥夺
deprived	剥夺
deprives	剥夺
depriving	剥夺
dept	部门
depth	深度
depths	深处
deputation	代表团
depute	委派
deputies	代表
deputise	代理
deputize	代理
deputy	副手
dequeue	出队
dequeued	已出队
dequeues	出队
dequeuing	出队中
der	的
derail	脱轨
derailed	脱轨的
derailer	脱轨器
derailing	脱轨中
derails	脱轨
derange	扰乱
derate	降额
deration	取消配给
derby	德比
derbyshire	德比郡
dereference	解引用
deregulate	放松管制
deregulated	已放松管制
deregulation	放松管制
derek	德里克
derelict	废弃的
dereliction	废弃
derequisition	解除征用
deride	嘲笑
derious	严肃的
derision	嘲笑
derisive	嘲笑的
derivable	可推导的
derivation	推导
derivations	推导
derivative	导数
derivatives	导数
derive	推导
derived	推导的
derives	推导
deriving	推导中
derma	皮肤
dermal	皮肤的
dermatitis	皮炎
dermatologist	皮肤科医生
dermatology	皮肤病学
dermatosis	皮肤病
derogate	贬低
derogation	贬低
derogatory	贬义的
derrick	井架
derriere	臀部
derris	鱼藤
dervish	苦行僧
des	的
des	的
desalination	脱盐
desalt	脱盐
desanctify	亵渎
desc	降序
descant	高音
descartes	笛卡尔
descend	下降
descendant	后代
descendants	后代
descended	下降的
descendent	后代
descender	下伸部分
descenders	下伸部分
descending	下降的
descends	下降
descent	下降
descents	下降
describable	可描述的
describe	描述
described	描述的
describer	描述者
describes	描述
describing	描述
description	描述
descriptions	描述
descriptive	描述性的
descriptively	描述性地
descriptives	描述性词
descriptor	描述符
descriptors	描述符
descry	发现
desecrate	亵渎
desecration	亵渎
desegregate	废除隔离
desegregation	废除隔离
deselect	取消选择
desensitise	使不敏感
desensitize	脱敏
desert	沙漠
deserted	荒废的
deserter	逃兵
deserters	逃兵
desertification	荒漠化
deserting	遗弃
desertion	遗弃
desertions	遗弃
deserts	沙漠
deserve	应得
deserved	应得的
deservedly	应得地
deserves	应得
deserving	值得的
deservingly	应得地
deservings	应得物
desex	去性
desiccant	干燥剂
desiccatant	干燥剂
desiccate	使干燥
desiccation	干燥
desiccative	干燥的
desiccator	干燥器
desiderata	需求物
desiderate	渴望
desideratum	需求
design	设计
designate	指定
designated	指定的
designates	指定
designating	指定
designation	指定
designations	指定
designator	指定器
designators	指定器
designed	设计
designedly	故意
designer	设计师
designers	设计师
designing	设计
designs	设计
desirability	可取性
desirable	理想的
desirably	理想地
desire	渴望
desired	渴望的
desires	渴望
desiring	渴望
desirous	渴望的
desist	停止
desk	桌子
deskjet	喷墨打印机
desks	桌子
desktop	桌面
desktops	桌面
desmond	德斯蒙德
desolate	荒凉的
desolately	荒凉地
desolation	荒凉
desolations	荒芜
desorption	解吸
despair	绝望
despaired	绝望
despairing	绝望的
despairingly	绝望地
despairs	绝望
despatch	派遣
despatched	派遣
desperado	亡命徒
desperate	绝望的
desperately	拼命地
desperation	绝望
despicable	可鄙的
despise	鄙视
despised	鄙视
despises	鄙视
despising	鄙视
despite	尽管
despiteful	恶意的
despoil	掠夺
despoliation	掠夺
despond	沮丧
despondency	沮丧
despondent	沮丧的
despot	暴君
despotic	专制的
despotically	专制地
despotism	专制
despots	暴君
dessert	甜点
desserts	甜点
dessicate	干燥
destabilised	动摇
destabilize	动摇
destabilized	动摇
desterilise	解除消毒
desterilize	解除消毒
destination	目的地
destinations	目的地
destine	注定
destined	注定
destinies	命运
destiny	命运
destitute	贫困
destitution	贫困
destrier	战马
destroy	摧毁
destroyed	摧毁
destroyer	驱逐舰
destroyers	驱逐舰
destroying	摧毁
destroys	摧毁
destruct	自毁
destructibility	可毁性
destructible	可毁的
destruction	毁灭
destructions	毁灭
destructive	破坏性的
destructively	破坏性地
destructiveness	破坏性
destructor	破坏者
destuff	解填充
destuffing	解填充
destuffs	解填充
desuetude	废弃
desultorily	散漫地
desultory	散漫的
desynchronize	去同步
detach	分离
detachable	可拆卸的
detached	分离的
detacher	分离器
detaches	分离
detaching	分离
detachment	分离
detachments	分离
detail	细节
detailed	详细的
detailing	细节处理
details	细节
detain	拘留
detained	被拘留的
detainee	被拘留者
detainees	被拘留者
detainer	拘留者
detaining	拘留
detains	拘留
detect	检测
detectable	可检测的
detectably	可检测
detectaphone	窃听器
detected	已检测
detecting	检测中
detection	检测
detections	检测结果
detective	侦探
detectives	侦探
detector	探测器
detectors	探测器
detects	检测到
detent	卡扣
detente	缓和
detention	拘留
deter	阻止
deterge	清洁
detergent	清洁剂
deteriorate	恶化
deteriorated	已恶化
deteriorates	恶化中
deteriorating	恶化中
deterioration	恶化
determent	阻碍
determinable	可确定
determinacy	确定性
determinant	决定因素
determinants	决定因素
determinate	确定的
determinately	确定地
determination	决心
determinations	决定
determinative	决定性
determine	决定
determined	坚定
determinedly	坚决
determiner	限定词
determiners	限定词
determines	决定
determining	决定
determinism	决定论
deterministic	确定
deterministically	确定
deterred	阻止
deterrence	威慑
deterrent	威慑
deterring	阻止
detest	厌恶
detestable	可憎
detestation	憎恶
detested	厌恶
dethrone	废黜
detinue	追索
detonable	可引爆
detonate	引爆
detonation	爆炸
detonator	雷管
detour	绕行
detox	排毒
detoxicate	解毒
detoxify	解毒
detract	贬低
detractor	贬低者
detractors	贬低者
detracts	贬低
detrain	下车
detriment	损害
detrimental	有害的
detritus	碎屑
detroit	底特律
detumescence	消肿
detune	失调
deuce	平分
deuced	该死的
deus	神
deuterium	氘
deuterogamy	再婚
deuteronomic	申命记的
deuteronomy	申命记
deutsch	德语
deutsche	德国的
deutschland	德国
deutzia	溲疏
dev	开发
devaluate	贬值
devalue	贬值
devastate	摧毁
devastated	摧毁的
devastates	摧毁
devastating	毁灭性的
devastation	毁灭
devel	开发
develop	发展
developed	发达的
developer	开发者
developer preview	开发者预览版
developers	开发者
developing	发展中
development	开发
developmental	发展的
developments	进展
develops	发展
deverbative	动词派生词
deviant	异常者
deviantart	异次元
deviants	异常者
deviate	偏离
deviated	偏离的
deviates	偏离
deviating	偏离
deviation	偏差
deviationism	异端
deviations	偏差
device	设备
devices	设备
devil	魔鬼
devildom	魔界
devilish	邪恶的
devilishly	极其
devils	魔鬼
devious	狡猾的
devise	设计
devised	设计的
devises	设计
devising	设计
devisings	设计
devisor	设计者
devitalise	使衰弱
devitalization	衰弱
devitalize	使衰弱
devitrification	失透
devitrify	使失透
devoid	缺乏
devoir	本分
devolution	移交
devolve	移交
devon	德文郡
devonian	泥盆纪
devonshire	德文郡
devonthink	德文思考
devops	开发运维
devote	奉献
devoted	奉献的
devotedly	奉献地
devotee	爱好者
devotees	爱好者
devotes	奉献
devoting	奉献
devotion	奉献
devotional	虔诚的
devotions	虔诚
devour	吞食
devoured	吞食
devourer	吞食者
devouringly	贪婪地
devours	吞食
devout	虔诚的
devoutly	虔诚地
devoutness	虔诚
dew	露水
dewalt	得伟
dewax	脱蜡
dewberry	露莓
dewclaw	悬蹄
dewdrop	露珠
dewdrops	露珠
dewey	杜威
dewfall	降露
dewiness	露湿
dewitt	德威特
dewlap	垂肉
dewy	带露的
dexedrine	右旋安非他命
dexter	右侧的
dexterity	灵巧
dexterous	灵巧的
dextral	右旋的
dextran	葡聚糖
dextrorotatory	右旋的
dextrose	葡萄糖
dfm	面向制造的设计
dhabi	迪拜
dharma	法
dhcp	动态主机配置协议
dynamic host configuration protocol	动态主机配置协议
dhl	敦豪
dhole	豺
dhoti	腰布
dhow	独桅帆船
dhtml	动态超文本标记语言
di	二
diabase	辉绿岩
diabetes	糖尿病
diabetic	糖尿病患者
diablo	暗黑破坏神
diabolic	恶魔的
diabolical	恶魔般的
diabolo	空竹
diachronic	历时的
diaconate	执事职
diacritical	变音的
diadem	王冠
diagnosable	可诊断的
diagnose	诊断
diagnosed	诊断
diagnoses	诊断
diagnosing	诊断
diagnosis	诊断
diagnostic	诊断的
diagnostician	诊断专家
diagnostics	诊断学
diagonal	对角线
diagonally	对角地
diagonals	对角线
diagram	图表
diagrammable	可图解的
diagrammatic	图解的
diagrammatically	图解地
diagrammatise	图解化
diagrammatize	图解化
diagrammed	绘制图表
diagrammer	图表绘制者
diagrammers	图表绘制者
diagramming	图表绘制
diagrams	图表
diagraph	绘图仪
dial	拨号
dial-up	拨号上网
dialect	方言
dialectal	方言的
dialectic	辩证法
dialectician	辩证学家
dialectology	方言学
dialects	方言
dialed	拨号
dialer	拨号器
dialers	拨号器
dialing	拨号
dialling	拨号
dialog	对话
dialogist	对话者
dialogs	对话框
dialogue	对话
dialogues	对话
dials	拨号
dialup	拨号
dialys	透析
dialysate	透析液
dialysis	透析
dialytic	透析的
dialyze	透析
dialyzer	透析器
diamagnetic	抗磁的
diamagnetism	抗磁性
diameter	直径
diameters	直径
diametral	直径的
diametric	对立的
diametrically	截然
diamond	钻石
diamondback	菱背响尾蛇
diamonds	钻石
diana	黛安娜
diane	黛安
dianne	黛安
dianthus	石竹
diapason	音域
diaper	尿布
diapers	尿布
diaphanous	透明的
diaphoretic	发汗的
diaphragm	膈膜
diaphragmatic	膈的
diaphragms	膈膜
diarchy	两头政治
diaries	日记
diarist	日记作者
diarrhea	腹泻
diary	日记
diaspora	流散
diastase	淀粉酶
diastole	舒张
diastolic	舒张的
diastrophism	地壳运动
diathermic	透热的
diathermy	透热疗法
diatom	硅藻
diatomic	双原子的
diatomite	硅藻土
diatonic	全音阶的
diatribe	抨击
diatribes	抨击
diazepam	安定
diazine	二嗪
diazo	重氮基
dib	轻点
dibasic	二元的
dibble	点播器
dice	骰子
dicer	切丁机
dicey	冒险的
dichotomize	二分
dichotomous	二分的
dichotomy	二分法
dichromatic	二色的
dichromatism	二色性
dicing	切丁
dick	阴茎
dicke	迪克
dickens	狄更斯
dicker	讨价还价
dickerson	迪克森
dickinson	迪金森
dicks	阴茎
dickson	迪克森
dicky	迪基
dicotyledon	双子叶植物
dicotyledonous	双子叶的
dict	字典
dictaphone	录音机
dictate	口述
dictated	口述的
dictates	命令
dictating	口述
dictation	听写
dictations	听写
dictator	独裁者
dictatorial	独裁的
dictators	独裁者
dictatorship	独裁统治
diction	措辞
dictionaries	词典
dictionary	词典
dictograph	录音电话
dictum	格言
dictums	格言
did	做了
didact	教育家
didactic	说教的
didactically	说教地
didacticism	说教主义
diddle	欺骗
didn't	没有
dido	迪多
didrex	迪德雷克斯
didymium	镨钕
die	死
diebold	迪堡
diecast	压铸
died	死了
diego	迭戈
diehard	顽固的
dielectric	电介质
dielectrics	电介质
diem	日薪
diencephalon	间脑
dieresis	分音符
dies	死
diesel	柴油
diesinker	模具工
diet	饮食
dietary	饮食的
dieter	节食者
dieters	节食者
dietetic	饮食的
dietetics	饮食学
dietician	营养师
dietitian	营养师
dietitians	营养师
dietrich	迪特里希
diets	饮食
dietz	迪茨
diff	差异
differ	不同
differed	不同了
difference	差异
differences	差异
different	不同的
differentia	特征
differentiable	可微的
differential	微分的
differentials	微分
differentiate	区分
differentiated	区分了
differentiates	区分
differentiating	区分中
differentiation	微分
differentiations	微分法
differentiator	区分器
differentiators	区分器
differently	不同地
differer	不同
differers	不同者
differing	不同
differs	不同
difficult	困难
difficulties	困难
difficultly	困难地
difficulty	困难
diffidence	羞怯
diffident	羞怯的
diffluent	易溶的
diffract	衍射
diffraction	衍射
diffractive	衍射的
diffs	差异
diffuse	扩散
diffused	扩散的
diffusely	扩散地
diffuser	扩散器
diffusers	扩散器
diffuses	扩散
diffusible	可扩散的
diffusing	扩散
diffusion	扩散
diffusions	扩散
diffusive	扩散的
difluoride	二氟化物
dify	迪菲
dig	挖掘
digamy	再婚
digest	消化
digested	已消化
digestibility	可消化性
digestible	易消化
digesting	消化中
digestion	消化
digestive	消化性
digests	消化
digg	挖掘
digger	挖掘者
diggers	挖掘者
digging	挖掘中
diggings	挖掘物
diggs	挖掘
dight	装饰
digi	数字
digimon	数码宝贝
digit	数字
digital	数字的
digitalis	毛地黄
digitally	数字化地
digitalocean	数字海洋
digitalrepresentation	数字表示
digitigrade	趾行
digitiser	数字化仪
digitization	数字化
digitize	数字化
digitized	已数字化
digitizer	数字化器
digitizes	数字化
digitizing	数字化
digits	数字
diglot	双语
dignified	庄重的
dignify	使尊贵
dignitary	显要
dignities	尊严
dignity	尊严
digram	双字母
digraph	双字母组合
digress	离题
digressed	离题了
digresses	离题
digressing	离题中
digression	离题
digressions	离题
digressive	离题的
digs	挖掘
dihedral	二面角
dijkstra	迪杰斯特拉
dijon	第戎
dike	堤坝
dikes	堤坝
dilapidate	使破败
dilapidated	破旧的
dilapidation	破败
dilatancy	膨胀性
dilatation	扩张
dilate	扩张
dilated	扩张的
dilates	扩张
dilating	扩张
dilation	扩张
dilatometer	膨胀计
dilator	扩张器
dilatoriness	拖延
dilatory	拖延的
dildo	假阳具
dildos	假阳具
dilemma	困境
dilemmas	困境
dilettante	业余爱好者
diligence	勤奋
diligent	勤奋的
diligently	勤奋地
dill	莳萝
dillon	狄龙
dilly	极好的
dillydally	磨蹭
dilogarithm	双对数
diluent	稀释剂
dilute	稀释
diluted	稀释的
dilutee	被稀释者
dilutes	稀释
diluting	稀释
dilution	稀释
diluvial	洪积的
diluvium	洪积层
dim	暗淡
dimaggio	迪马乔
dime	一角
dimension	维度
dimensional	维度的
dimensionality	维度数
dimensionally	维度上
dimensioned	有尺寸的
dimensioning	标注尺寸
dimensions	尺寸
dimer	二聚体
dimes	一角硬币
diminish	减少
diminished	减少的
diminishes	减少
diminishing	减少的
diminution	减少
diminutive	微小
dimity	细棉布
dimly	昏暗地
dimmed	变暗的
dimmer	调光器
dimmers	调光器
dimmest	最暗的
dimming	调光
dimness	昏暗
dimorphism	二态性
dimout	灯火管制
dimple	酒窝
dimples	酒窝
dimply	有酒窝的
dims	调暗
dimwit	笨蛋
din	喧闹
dinah	黛娜
dinar	第纳尔
dine	用餐
dined	吃过
diner	食客
dinergate	兵蚁
diners	食客
dines	用餐
ding	叮
dingbat	怪人
dingdingdangdang	叮叮当当
dinghy	小艇
dingily	昏暗地
dinginess	昏暗
dingle	幽谷
dingo	澳洲野犬
dingy	昏暗的
dining	进餐
dink	顶
dinkey	小机车
dinkum	真实的
dinky	小巧的
dinner	晚餐
dinners	晚餐
dinnertime	晚餐时间
dinnerware	餐具
dino	恐龙
dinosaur	恐龙
dinosaurs	恐龙
dint	凹痕
diocesan	教区的
diocese	教区
diocletian	戴克里先
diode	二极管
diodes	二极管
diogenes	第欧根尼
dion	迪翁
dionysian	酒神的
dionysius	狄奥尼修斯
dionysus	狄俄尼索斯
diophantine	丢番图的
diopter	屈光度
dioptrics	屈光学
dior	迪奥
diorama	立体模型
dioramic	立体模型的
diorite	闪长岩
dioxide	二氧化物
dioxin	二噁英
dip	蘸
diphtheria	白喉
diphthong	双元音
diplex	双工的
diploid	二倍体
diploma	文凭
diplomacy	外交
diplomas	文凭
diplomat	外交官
diplomate	外交官
diplomatic	外交的
diplomatically	外交地
diplomats	外交官
diplosis	双倍体
dipole	偶极子
dipped	浸入
dipper	长柄勺
dippers	长柄勺
dipping	浸入
dippings	浸液
dippy	愚蠢的
dips	浸入
dipsomania	酗酒症
dipsomaniac	酗酒者
dipstick	量油尺
diptych	双联画
dir	目录
dirac	狄拉克
dire	可怕的
direct	直接的
directed	被指导的
directing	指导
direction	方向
directional	定向的
directionality	方向性
directionally	方向地
directions	指示
directive	指令
directives	指令
directivity	指向性
directly	直接地
directness	直率
director	导演
directorate	董事会
directories	目录
directors	董事
directorship	董事职位
directory	目录
directrices	准线
directrix	准线
directs	指导
directus	迪雷克特斯
directv	卫星电视
directx	图形接口
direful	可怕的
direlation	关系
dirge	挽歌
dirges	挽歌
dirichlet	狄利克雷
dirigibility	可操纵性
dirigible	飞艇
diriment	无效的
dirk	匕首
dirt	污垢
dirtier	更脏
dirtiest	最脏
dirtily	肮脏地
dirtiness	肮脏
dirts	污物
dirty	脏
dis	贬
dis	迪斯
disabilities	残疾
disability	残疾
disable	禁用
disabled	残疾的
disabler	禁用者
disablers	禁用者
disables	禁用
disabling	禁用中
disabuse	纠正
disaccord	不和
disadvantage	劣势
disadvantaged	弱势的
disadvantageous	不利的
disadvantages	劣势
disaffect	疏远
disaffected	不满的
disaffection	不满
disagree	不同意
disagreeable	讨厌的
disagreed	不同意
disagreeing	不同意
disagreement	分歧
disagreements	分歧
disagrees	不同意
disallow	禁止
disallowance	禁止
disallowed	禁止
disallowing	禁止
disallows	禁止
disambiguate	消歧
disambiguated	消歧
disambiguates	消歧
disambiguating	消歧
disambiguation	消歧
disambiguations	消歧
disannul	废除
disappear	消失
disappearance	消失
disappearances	消失
disappeared	消失
disappearing	消失
disappears	消失
disappoint	失望
disappointed	失望
disappointing	失望
disappointment	失望
disappointments	失望
disapprobation	不赞成
disapproval	不赞成
disapprove	不赞成
disapproved	不赞成
